ID,Gender,Status,Children,Est Income,Car Owner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan,CHURN
174,M,M,1,63437.3,N,64,0.68,3.35,10.94,0,CC,Budget,Intnl_discount,14.98,4,T
178,M,M,2,49910.7,Y,52,27.42,0,23.72,0,CC,Budget,Standard,51.14,3,T
180,M,M,0,76161.4,Y,45,11.96,0,25.58,0,CC,FreeLocal,Standard,37.55,4,T
181,F,M,2,55860,Y,15,16.01,0,10.35,0,CC,FreeLocal,Intnl_discount,26.37,3,T
182,F,S,1,12686,N,65,23.23,0,80.64,0,Auto,Budget,Standard,103.88,2,T
190,M,M,2,57360.8,Y,53,10.36,0,57.25,0,CC,FreeLocal,Standard,67.61,1,T
191,M,M,0,92414.7,Y,46,29.43,0,10.62,0,CC,FreeLocal,Standard,40.06,4,T
192,M,M,1,60102.7,N,42,9.84,0,62.44,1,CH,FreeLocal,Standard,72.29,3,T
194,F,M,2,17888.7,N,55,29.41,0,332.46,0,CC,Budget,Standard,361.88,1,T
195,F,S,1,12526.3,N,54,11.72,0,28.86,0,CC,FreeLocal,Intnl_discount,40.59,2,T
198,F,S,2,14578.8,Y,61,11.91,0,95.1,0,Auto,Budget,Standard,107.02,1,T
201,M,M,0,78572.2,Y,42,21.81,0,29.28,1,CC,FreeLocal,Standard,51.09,4,T
203,F,M,2,48238.8,N,35,23.28,0,168.03,0,CC,FreeLocal,Standard,191.32,4,T
205,F,M,0,28770.9,N,12,27.99,5.32,16.27,0,CH,FreeLocal,Standard,49.6,4,T
206,F,M,2,87578.2,Y,53,0.29,0,22.15,0,CC,Budget,Standard,22.44,1,T
207,F,M,2,86695.4,N,14,25.94,0,32.09,0,CC,FreeLocal,Standard,58.03,2,T
209,F,S,2,76791.2,N,61,20.71,0,23,0,CC,Budget,Intnl_discount,43.71,4,T
213,F,D,0,30763.8,Y,14,21.32,0,35.85,0,CC,Budget,Standard,57.17,4,T
214,F,M,2,3193.6,N,54,4.19,0,114.62,1,CH,Budget,Standard,118.82,3,T
215,M,M,1,69680.9,N,16,7.67,0,32.12,0,CC,FreeLocal,Intnl_discount,39.8,2,T
218,F,M,0,83287,N,45,29.64,0,90.18,4,Auto,FreeLocal,Intnl_discount,119.82,3,T
219,M,S,0,2056.06,Y,19,24.07,6.98,27.75,0,Auto,Budget,Standard,58.8,2,T
220,F,M,2,7776.6,N,36,25.87,0,68.33,0,CC,FreeLocal,Standard,94.2,4,T
221,M,M,1,2067.82,N,48,15.25,0,70.65,0,CC,Budget,Intnl_discount,85.9,4,T
222,M,S,0,66666,N,52,4.58,7.66,8.49,0,CH,Budget,Standard,20.74,1,T
224,F,M,2,69343.3,N,42,6.36,0,15.54,0,CC,FreeLocal,Standard,21.91,2,T
225,F,M,0,77000,N,55,0.57,0,23.89,2,Auto,Budget,Standard,24.46,4,T
228,F,M,0,14932.5,N,52,4.91,0,6.5,0,CC,Budget,Intnl_discount,11.42,1,T
229,F,S,0,27498.1,N,42,2.2,0,9.88,0,CC,Budget,Intnl_discount,12.08,4,T
231,F,M,2,21419.9,N,60,26.39,0,103.12,0,CC,FreeLocal,Standard,129.51,1,T
232,F,M,2,30665.2,Y,23,5.83,8.32,63.28,0,Auto,FreeLocal,Standard,77.44,3,T
233,F,M,1,66000,Y,63,6.08,0,30.95,0,Auto,FreeLocal,Intnl_discount,37.04,2,T
234,F,M,2,50561.3,N,52,16.6,0,113.31,1,CH,Budget,Standard,129.91,2,T
236,F,S,2,23464,Y,70,22.43,0,41.71,0,CC,Budget,Intnl_discount,64.14,3,T
237,F,M,2,194.57,N,42,28.26,0,38.95,0,CC,FreeLocal,Standard,67.21,4,T
238,F,M,1,98680.4,Y,55,17.58,0,8.85,0,CH,FreeLocal,Intnl_discount,26.44,4,T
239,M,M,1,65619.7,Y,46,13.56,0,144.66,0,CC,Budget,Standard,158.22,3,T
240,F,M,1,95620.3,Y,52,10.91,0,93.61,0,CC,Budget,Standard,104.53,2,T
241,F,S,0,85275,N,47,22.48,0,151.61,0,Auto,FreeLocal,Intnl_discount,174.09,2,T
242,F,M,1,66921.4,Y,43,15.7,0,8.97,0,CC,FreeLocal,Intnl_discount,24.67,3,T
243,F,M,1,98453.6,Y,46,13.72,0,11.65,0,Auto,FreeLocal,Standard,25.38,3,T
244,F,M,2,94026.8,Y,28,25,0,10.62,0,CC,FreeLocal,Intnl_discount,35.63,3,T
246,F,S,2,57420,Y,61,25.18,0,252.53,1,Auto,Budget,Standard,277.72,2,T
247,M,M,0,77000,N,44,3.93,3.73,26.69,1,CH,FreeLocal,Standard,34.35,4,T
249,M,M,2,47639.1,N,48,17.48,0,39.62,0,CC,Budget,Intnl_discount,57.11,4,T
250,F,M,2,63234.5,Y,52,0,0,1.16,0,CH,FreeLocal,Intnl_discount,1.16,3,T
254,F,M,2,18296.4,Y,43,0.08,0,10.39,0,CC,FreeLocal,Standard,10.47,3,T
255,F,S,0,39461,N,22,22.87,0.28,103.52,1,CC,FreeLocal,Standard,126.68,4,T
257,F,S,1,68000,N,60,22.82,0,63.29,0,Auto,FreeLocal,Standard,86.12,3,T
260,F,M,2,52957,Y,40,25.79,0,125.52,2,CH,FreeLocal,Standard,151.32,2,T
261,F,S,2,86747.1,N,65,20.15,0,37.24,0,Auto,Budget,Standard,57.4,3,T
263,F,M,1,87404.6,N,63,21.63,0,139.2,0,Auto,Budget,Standard,160.84,3,T
264,M,S,2,20919,N,28,6.26,4.92,153.36,0,CC,FreeLocal,Intnl_discount,164.54,2,T
265,F,M,2,85394,Y,20,19.28,2.02,14.38,1,Auto,Budget,Intnl_discount,35.69,4,T
266,F,S,0,2121.36,N,40,2.02,0,36.78,1,CC,FreeLocal,Standard,38.8,3,T
267,F,M,2,63566.1,Y,56,7.94,0,65.09,0,CH,Budget,Intnl_discount,73.03,2,T
270,F,S,0,89813.6,N,13,14.94,1.96,149.26,0,CC,FreeLocal,Intnl_discount,166.18,4,T
272,F,M,2,82644.2,Y,33,21.97,0,19.88,0,CC,FreeLocal,Intnl_discount,41.85,4,T
273,F,S,1,27783.6,N,14,4.97,6.53,18.07,0,CC,FreeLocal,Standard,29.58,3,T
276,F,M,2,60485.5,N,42,11.7,0,28.7,0,Auto,Budget,Intnl_discount,40.41,1,T
279,F,M,2,809.43,Y,32,0,0,2.89,0,CH,FreeLocal,Intnl_discount,2.89,1,T
280,M,S,1,76529.8,N,58,18.46,5.36,20.05,0,CC,Budget,Standard,43.89,1,T
281,F,M,2,34577.7,N,63,29.18,0,116.57,3,CH,Budget,Standard,145.75,2,T
283,F,M,0,80000,N,48,27.56,0,45.46,0,Auto,Budget,Standard,73.02,3,T
284,F,S,2,19008.4,Y,52,10.54,0,137.19,0,CC,FreeLocal,Standard,147.74,4,T
285,F,M,0,98056.3,N,56,23.7,0,126.96,0,Auto,FreeLocal,Standard,150.67,3,T
286,M,M,0,73400,Y,64,0,0,2.21,0,CH,Budget,Standard,2.21,4,T
288,M,M,0,78894.2,N,28,2,1.41,43.23,0,CH,Budget,Intnl_discount,46.65,2,T
289,M,S,1,16432.1,Y,21,20.41,8.89,80.47,0,CH,Budget,Intnl_discount,109.78,1,T
290,M,M,0,62797.9,N,54,8.32,4.28,55.48,0,CH,Budget,Intnl_discount,68.09,1,T
291,M,S,1,71329.9,Y,42,14.27,3.55,45.92,0,CC,Budget,Standard,63.75,3,T
295,F,S,0,20913.6,N,53,22.99,7.16,65.77,0,CC,FreeLocal,Standard,95.93,4,T
298,F,S,1,540.4,Y,39,12.34,0,7.75,0,Auto,Budget,Intnl_discount,20.1,4,T
302,M,M,2,67339.8,N,17,27.83,5.19,48.69,0,CC,FreeLocal,Intnl_discount,81.72,2,T
304,M,M,1,75799.9,N,46,22.24,7.02,64.8,0,CC,FreeLocal,Intnl_discount,94.06,3,T
305,F,S,2,15688.5,N,53,14.39,0,8.03,0,CC,Budget,Standard,22.42,4,T
306,F,S,0,43382.3,N,16,29.67,8.76,99.94,0,CH,FreeLocal,Standard,138.37,2,T
308,F,S,0,5185.31,N,62,16.39,5.99,30.51,0,CC,FreeLocal,Intnl_discount,52.9,2,T
309,F,S,0,41000,N,16,26.01,0,108.44,0,CC,Budget,Standard,134.45,4,T
310,F,S,0,32098,N,22,22.96,8.28,75.27,0,CH,Budget,Intnl_discount,106.53,2,T
312,F,M,2,80087.7,N,42,8.74,0,22.82,0,CC,FreeLocal,Standard,31.56,4,T
313,F,M,2,59691.3,N,38,21.94,0,256.7,0,CC,Budget,Standard,278.65,2,T
315,F,S,2,11251.1,Y,61,28.42,0,113.48,0,CC,FreeLocal,Standard,141.91,2,T
317,M,M,0,70908.7,N,50,7.7,4.55,43.2,0,CC,FreeLocal,Standard,55.47,4,T
318,M,S,0,94928.3,N,40,14.42,5.61,73.74,0,CH,FreeLocal,Standard,93.78,4,T
320,F,M,2,50622.3,N,40,20.45,2.07,90.19,0,Auto,FreeLocal,Standard,112.72,2,T
322,M,M,0,78000,Y,52,16.2,4.27,18.84,0,CC,FreeLocal,Intnl_discount,39.32,3,T
326,M,M,0,100020,Y,52,29.55,0,62.81,0,CH,Budget,Standard,92.37,4,T
329,F,M,1,56722.8,N,61,17.37,6.21,51.17,0,CC,FreeLocal,Standard,74.77,2,T
331,M,M,1,80000,N,53,0,0,3.22,0,CC,Budget,Intnl_discount,3.22,3,T
332,F,S,2,3416.62,Y,23,18.97,0,104.73,0,CC,Budget,Standard,123.7,4,T
333,F,M,0,73400,Y,56,0.17,0,10.22,0,Auto,Budget,Standard,10.39,2,T
334,M,M,0,120000,Y,53,15.27,0,25.62,0,CC,FreeLocal,Standard,40.9,4,T
335,F,M,2,8032.16,N,46,29.68,0,59.08,0,CC,FreeLocal,Standard,88.77,2,T
336,F,S,1,93454.3,Y,49,18.94,0,25.18,0,Auto,FreeLocal,Standard,44.13,4,T
337,M,M,0,5745,Y,15,26.4,0,17.71,0,CC,FreeLocal,Standard,44.11,1,T
338,F,S,0,83287,N,77,0.41,7.35,208.19,0,Auto,Budget,Standard,215.96,4,T
339,F,S,0,92564.1,Y,49,23.17,0,51.68,0,Auto,FreeLocal,Standard,74.86,3,T
341,M,S,0,86448.2,Y,38,4.91,3.14,82.19,0,CC,Budget,Intnl_discount,90.25,2,T
343,F,M,2,48322.5,Y,49,6.69,0,43.6,0,CC,FreeLocal,Standard,50.29,1,T
346,F,M,2,81913.8,Y,50,6.7,0,46.33,0,CC,FreeLocal,Standard,53.03,1,T
349,F,S,0,919.93,N,38,27.28,0,93.42,0,CH,Budget,Standard,120.71,3,T
350,F,M,2,69486.8,N,31,7.72,0,9.39,1,CC,Budget,Standard,17.11,1,T
351,F,M,2,24482.8,N,34,0,0,2,0,CH,Budget,Intnl_discount,2,4,T
353,F,M,0,14573.6,N,65,26.61,0,236.97,0,CC,Budget,Standard,263.58,4,T
354,F,M,2,92103.8,N,52,7.42,0,7.43,0,CC,Budget,Standard,14.86,3,T
355,F,S,2,8392.14,Y,37,25.03,7.33,54.8,0,CH,Budget,Intnl_discount,87.16,3,T
356,F,S,0,17138.2,N,64,20.01,0,84.67,0,CC,FreeLocal,Intnl_discount,104.69,3,T
358,F,M,2,47010.1,N,57,2.54,0,164.76,0,CC,Budget,Intnl_discount,167.31,1,T
360,F,S,1,67239.4,N,44,12.89,0,53.81,0,Auto,FreeLocal,Intnl_discount,66.7,2,T
361,M,M,1,69406.7,Y,30,6.9,7.21,128.1,1,CC,FreeLocal,Standard,142.23,2,T
363,F,M,2,83259.3,N,51,0,0,4.46,0,CC,Budget,Standard,4.46,4,T
365,M,S,2,60095.2,Y,23,1.71,0,116.14,0,Auto,Budget,Standard,117.85,2,T
370,F,M,2,2185.6,N,53,7.12,0,20.95,1,CH,Budget,Standard,28.07,1,T
372,M,M,1,76511.3,N,62,21.68,3.46,17.37,0,CC,FreeLocal,Standard,42.52,2,T
374,F,M,1,6946.07,N,23,25.77,0,8.84,0,CH,FreeLocal,Standard,34.61,2,T
375,F,M,2,11234.7,Y,49,0.69,0,112.72,0,CC,Budget,Standard,113.42,3,T
377,F,M,2,36660.9,Y,40,0,0,3.36,1,CH,Budget,Intnl_discount,3.36,1,T
379,F,M,2,68462.8,N,34,24.39,5.93,60.51,0,CC,FreeLocal,Standard,90.84,2,T
382,F,M,2,72841.3,N,47,10.36,0,72.16,0,CC,Budget,Standard,82.53,1,T
383,F,M,2,63670.8,Y,46,27.39,0,51.47,0,Auto,FreeLocal,Standard,78.87,2,T
384,M,S,0,83287,N,45,29.73,5.24,35.73,0,CC,Budget,Standard,70.7,2,T
385,F,S,1,66000,Y,45,20.44,0,100.08,0,Auto,Budget,Standard,120.53,1,T
386,M,M,0,12387.6,N,56,7,0,65.93,0,Auto,FreeLocal,Standard,93.85,2,T
388,F,M,1,82931.3,N,65,19.24,0,118,0,Auto,FreeLocal,Standard,137.25,2,T
389,F,M,2,57483.9,N,44,17.01,0,27.29,0,CH,Budget,Standard,44.3,2,T
391,F,S,2,21274,N,46,10.87,0,32.43,0,Auto,FreeLocal,Standard,43.31,2,T
392,F,M,2,28267,N,30,21.87,0,192.53,0,CC,FreeLocal,Standard,214.41,2,T
394,F,M,2,36725.1,N,56,8.65,9.22,77,0,CH,Budget,Standard,94.88,2,T
398,M,S,1,94188.3,N,58,20.86,0.86,19.78,0,CC,Budget,Standard,41.51,2,T
401,F,M,2,91861,Y,42,15.32,0,6.74,0,CC,Budget,Standard,22.06,3,T
404,F,S,1,12374.9,Y,33,17.49,0,106.1,0,Auto,FreeLocal,Standard,123.59,3,T
405,F,M,2,69133.9,Y,27,8.58,0,37.73,0,CH,FreeLocal,Standard,46.32,2,T
407,F,M,2,84948,Y,29,11.14,0,12.58,0,CH,FreeLocal,Intnl_discount,23.73,3,T
408,F,M,2,30998.8,N,41,2.4,0,50.5,0,Auto,Budget,Standard,52.91,2,T
410,M,S,0,15924.2,N,14,0,0,1.46,0,CH,FreeLocal,Standard,1.46,2,T
414,M,M,2,21416.5,N,36,9.9,9.17,8.53,0,CC,FreeLocal,Intnl_discount,27.61,1,T
418,M,M,2,78554.2,N,17,5.59,7.26,23.03,0,Auto,Budget,Standard,35.88,3,T
419,M,S,1,3960.5,N,15,29.78,0,66.35,0,Auto,FreeLocal,Standard,96.13,2,T
421,M,M,0,60101.1,Y,64,27.7,6.11,124.14,2,CH,FreeLocal,Standard,157.96,4,T
422,F,M,2,38215.9,N,31,0,0,0.97,0,Auto,Budget,Standard,0.97,2,T
423,F,M,1,13829.4,N,22,28,0,160.42,0,CC,FreeLocal,Standard,176.61,1,T
424,F,M,2,49745.3,N,48,2.84,0,24.44,0,CH,Budget,Intnl_discount,27.28,3,T
426,F,M,2,88427,N,14,22.46,4.16,43.34,0,CC,Budget,Standard,69.97,3,T
427,F,M,2,98003.7,Y,26,1.03,0,83.39,0,CC,FreeLocal,Intnl_discount,84.42,1,T
428,M,S,0,89142.7,N,33,3.76,8.13,5.01,0,CC,Budget,Intnl_discount,16.91,2,T
429,F,S,0,74530.8,N,63,20.89,0.49,106.5,0,Auto,FreeLocal,Intnl_discount,127.89,2,T
431,F,S,0,35000,N,23,30,0,262.91,0,CC,Budget,Standard,265.78,3,T
436,F,M,2,76289.2,N,48,22.2,0,82.43,0,CC,Budget,Intnl_discount,104.63,2,T
438,M,M,1,66931.9,N,64,11.72,0.39,5.35,0,CC,Budget,Standard,17.46,4,T
439,F,D,1,9309.57,Y,24,40,0,99.73,0,CC,FreeLocal,Standard,108.3,2,T
440,F,M,1,14085.5,N,23,26,0,26.78,0,Auto,FreeLocal,Intnl_discount,48.08,1,T
441,F,S,0,32962.6,N,19,27,0,154.77,0,CC,Budget,Intnl_discount,168.28,2,T
442,F,S,0,40000,N,20,26,0,61.44,0,CC,Budget,Standard,65.79,2,T
443,F,S,2,33330,N,21,33,0,35.73,0,Auto,Budget,Standard,41.78,3,T
444,F,S,1,32098,N,22,33,0,9.51,0,Auto,Budget,Intnl_discount,23.52,1,T
445,F,S,2,30090,N,24,37,2.22,38.18,0,CC,FreeLocal,Standard,62.95,1,T
446,F,S,1,40120,N,24,28.45,0,106.3,0,CC,Budget,Standard,134.75,4,T
450,F,M,2,90271.6,N,45,13.96,0,96.43,0,CC,FreeLocal,Standard,110.4,4,T
455,F,M,2,64816.6,Y,31,21,0,6.87,0,CC,Budget,Standard,27.87,2,T
456,F,M,2,98217.1,N,45,29.49,0,13.24,0,CC,FreeLocal,Standard,42.74,1,T
458,F,S,1,2929.13,N,54,14,0,88.23,0,CH,Budget,Intnl_discount,102.23,1,T
460,F,M,2,41876.6,Y,44,6.78,0,132.65,0,CC,FreeLocal,Standard,139.44,3,T
461,M,M,0,96223.4,Y,65,11.81,0.63,5.73,0,CC,FreeLocal,Standard,18.18,1,T
462,F,S,0,15989.3,N,62,3.67,0,25.49,1,CC,Budget,Intnl_discount,29.17,4,T
463,M,M,0,69168.4,Y,62,14.16,6.01,214.73,0,CC,Budget,Standard,234.91,2,T
464,M,M,1,92148.5,Y,33,3,0,100.9,0,CC,Budget,Intnl_discount,113.68,2,T
465,M,M,0,96681,Y,20,7,7.66,40.92,0,CC,Budget,Standard,73.76,2,T
466,M,S,0,62705.9,Y,32,8,0,6.81,0,CC,FreeLocal,Intnl_discount,33.44,2,T
467,M,S,0,80221.2,N,29,9,0,49.56,0,Auto,FreeLocal,Standard,50.48,2,T
468,M,S,0,84479.2,N,30,7,0,43.01,0,CC,FreeLocal,Standard,56.23,2,T
469,F,M,2,64977.4,N,38,28.11,0,17.66,0,CC,FreeLocal,Standard,45.77,2,T
470,F,M,0,77994,N,51,12.4,0,89.62,0,CH,FreeLocal,Standard,102.02,1,T
471,M,M,2,90103.7,N,35,12.23,8.87,45.34,0,CC,Budget,Intnl_discount,66.45,3,T
472,F,M,0,59008.4,Y,30,12.86,0,18.73,0,CC,Budget,Standard,31.59,1,T
473,M,M,2,5265.35,N,53,2.33,5.3,23.46,0,Auto,Budget,Intnl_discount,31.1,3,T
474,M,S,1,84978.1,N,22,5.03,7.68,76.07,0,CH,FreeLocal,Intnl_discount,88.79,1,T
475,F,M,2,36647.9,N,50,21.41,0,85.96,0,CC,Budget,Intnl_discount,107.38,3,T
476,F,S,0,64319.2,N,41,3.01,0,37.15,0,CH,Budget,Intnl_discount,40.16,1,T
477,F,S,1,73338,N,48,20.92,0,9.01,0,Auto,Budget,Intnl_discount,29.93,3,T
478,F,S,0,433.74,N,61,3.3,0,40.91,0,CC,FreeLocal,Standard,44.22,1,T
479,F,M,2,16962.2,N,45,18.6,0,8.96,0,CC,Budget,Standard,27.57,2,T
481,M,M,2,10708.3,N,26,20.83,4.85,117.26,0,CH,Budget,Intnl_discount,142.95,3,T
484,F,M,0,2031.61,N,20,21.64,0,87.4,0,CC,Budget,Standard,109.04,2,T
488,F,S,2,16938.5,N,55,13.35,0,8.76,0,CH,FreeLocal,Standard,22.11,2,T
491,F,M,0,55221,N,42,0.49,0,15.2,0,CC,FreeLocal,Standard,15.69,3,T
492,F,M,1,8073.11,N,43,28.7,0,60.35,0,Auto,FreeLocal,Standard,89.05,2,T
493,M,M,1,95448.6,Y,54,24.24,0,5.21,0,CH,Budget,Standard,29.46,3,T
494,M,S,1,24141.5,Y,17,28.82,0,97.05,0,CC,FreeLocal,Standard,125.87,4,T
495,M,S,2,63152.6,Y,63,29.93,0,40.07,0,CC,Budget,Intnl_discount,70.01,1,T
497,M,S,2,72084.7,N,56,29.11,0,9.02,0,CC,Budget,Intnl_discount,38.13,1,T
498,F,S,0,42760.5,N,46,13.47,0,40.23,0,CC,Budget,Standard,53.7,3,T
499,F,S,1,49072,N,47,23.5,0,10.74,0,Auto,Budget,Intnl_discount,34.25,2,T
